pmid,chemical,disease,best_sentence,best_sentence_confidence,global_confidence,note
30894343,Permethrin,Autism Spectrum Disorder,"RESULTS: Risk of autism spectrum disorder was associated with prenatal exposure to glyphosate (odds ratio 1.16, 95% confidence interval 1.06 to 1.27), chlorpyrifos (1.13, 1.05 to 1.23), diazinon (1.11, 1.01 to 1.21), malathion (1.11, 1.01 to 1.22), avermectin (1.12, 1.04 to 1.22), and permethrin (1.10, 1.01 to 1.20).",0.9783550500869751,0.9109795093536377,ok
25423485,5-hydroxymethylcytosine,Autistic Disorder,"In this study we demonstrate that DNA isolated from the cerebellum of BTBR T+tf/J mice, a relevant mouse model of autism, and from human post-mortem cerebellum of individuals with autism, are both characterized by an increased levels of 8-oxo-7-hydrodeoxyguanosine (8-oxodG), 5-methylcytosine (5mC), and 5-hydroxymethylcytosine (5hmC).",0.8637791275978088,0.7492246031761169,ok
33497755,Diethylhexyl Phthalate,Autism Spectrum Disorder,"Exposure to the plasticizer, Di-(2-ethylhexyl) phthalate during juvenile period exacerbates autism-like behavior in adult BTBR T + tf/J mice due to DNA hypomethylation and enhanced inflammation in brain and systemic immune cells.",0.9720001220703125,0.9656774401664734,ok
24675092,Thimerosal,Autistic Disorder,"Our results indicate that higher dose of neonatal thimerosal-mercury (20Ã— higher than that used in human) is capable of inducing long-lasting substantial dysregulation of neurodevelopment, synaptic function, and endocrine system, which could be the causal involvements of autistic-like behavior in mice.",0.944718062877655,0.8627828359603882,ok
16917939,Glutathione,Autistic Disorder,"Differences in allele frequency and/or significant gene-gene interactions were found for relevant genes encoding the reduced folate carrier (RFC 80G > A), transcobalamin II (TCN2 776G > C), catechol-O-methyltransferase (COMT 472G > A), methylenetetrahydrofolate reductase (MTHFR 677C > T and 1298A > C), and glutathione-S-transferase (GST M1).",0.03215080127120018,0.9638485312461853,ok
39559191,mono-(2-ethylhexyl)phthalate,Autism Spectrum Disorder,"The association between prenatal phthalate mixture exposure and the risk of autism spectrum disorder (ASD) in children, as well as the potential mechanism and impact of maternal vitamin D, remains unclear.",0.5512599349021912,0.35092148184776306,ok
25286049,Particulate Matter,Autistic Disorder,"BACKGROUND: Recent studies suggest that exposure to traffic-related air pollutants, including particulate matter (PM), is associated with autism spectrum disorder (autism).",0.9773949980735779,0.9708375334739685,ok
29553459,4-dichlorobenzene,Autism Spectrum Disorder,"RESULTS: ASD diagnosis was positively associated with propionaldehyde, methyl tert-butyl ether (MTBE), bromoform, 1,4-dioxane, dibenzofurans, and glycol ethers and was inversely associated with 1,4-dichlorobenzene, 4,4'-methylene diphenyl diisocyanate (MDI), benzidine, and ethyl carbamate (urethane).",0.972255527973175,0.9156691431999207,ok
6150139,succinyladenosine,Autistic Disorder,"Jaeken J, Van den Berghe G. Succinyladenosine and succinylaminoimidazole carboxamide riboside were found in body fluids from 3 children, including a brother and sister, with severe psychomotor delay and autism.",0.9078818559646606,0.9757797718048096,ok
30894343,Permethrin,Autism Spectrum Disorder,"RESULTS: Risk of autism spectrum disorder was associated with prenatal exposure to glyphosate (odds ratio 1.16, 95% confidence interval 1.06 to 1.27), chlorpyrifos (1.13, 1.05 to 1.23), diazinon (1.11, 1.01 to 1.21), malathion (1.11, 1.01 to 1.22), avermectin (1.12, 1.04 to 1.22), and permethrin (1.10, 1.01 to 1.20).",0.9783550500869751,0.9109795093536377,ok
